BU BY BF EV HH DQ GG DD GP BA DS GT EO FU DH AY FB CT DL HP HM FC DZ CQ DT CK BN CR DM DK GE DR EY ET HA AT CM HO GQ EK GK AM EH AX CO ES FR BK FI GS DW EN FN CW GY BG DJ FG GA DI CZ CE AE EL BP BQ CX EQ AR FP AF FY DE GO AD CS CI HC EG CD BW HI BM BH FD CV DX DP HJ BE AP EC FS GH DU FF BZ AN AV CA HF BU
95
DH DV
EC EC
AN AN
DR DR
BW BW
FD FD
CX CX
DK DK
EO EO
CE GN
FN FN
BU BU
FG FG
DE FW AQ DE
BK BK
HC HC
CT CT
EL EL
DQ DQ
DS DS
HJ HJ
BF BF
CM CM
CA CY CA
EG EG
CQ CQ
CD CD
CV CV
DJ DJ
GK GK
FF FF
AE AE
BZ BZ ER
EH EH
DZ DZ
HI HG
HM HM
GY GY
DI DI
CK CK
CI CI
GA GA
EK EK
DM DM
GP GP
FR FR
CS CS
CZ CZ
DW FL
GQ GQ
AF AF
ET ET
DP DP
EQ EQ
BE BE GM
DL DL
BY BY
BM BM
AY AY
CO CO
AV AV
AT AT
AP AP
EN EN
HF HF
BH BH
FB FB
BN BN
FP FP
FS FS
GS GS
DT DT
GO GO
GH GH
CR CR
GT GT
DX DX
HP HP
HH HH
AX AX
FU FU
EV EV
BA BA
CW CW
ES ES
GE GE
EY EY
BQ BQ
DD DD
FY FY
FI FI
AR AR
DU DU
HA HA
BG BG
